,County,Province_State,Country_Region,Date,Target_x,TargetValue_x,Target_y,TargetValue_y
15836,,,Ireland,2020-01-23,ConfirmedCases,0.0,Fatalities,0.0
15837,,,Ireland,2020-01-24,ConfirmedCases,0.0,Fatalities,0.0
15838,,,Ireland,2020-01-25,ConfirmedCases,0.0,Fatalities,0.0
15839,,,Ireland,2020-01-26,ConfirmedCases,0.0,Fatalities,0.0
15840,,,Ireland,2020-01-27,ConfirmedCases,0.0,Fatalities,0.0
15841,,,Ireland,2020-01-28,ConfirmedCases,0.0,Fatalities,0.0
15842,,,Ireland,2020-01-29,ConfirmedCases,0.0,Fatalities,0.0
15843,,,Ireland,2020-01-30,ConfirmedCases,0.0,Fatalities,0.0
15844,,,Ireland,2020-01-31,ConfirmedCases,0.0,Fatalities,0.0
15845,,,Ireland,2020-02-01,ConfirmedCases,0.0,Fatalities,0.0
15846,,,Ireland,2020-02-02,ConfirmedCases,0.0,Fatalities,0.0
15847,,,Ireland,2020-02-03,ConfirmedCases,0.0,Fatalities,0.0
15848,,,Ireland,2020-02-04,ConfirmedCases,0.0,Fatalities,0.0
15849,,,Ireland,2020-02-05,ConfirmedCases,0.0,Fatalities,0.0
15850,,,Ireland,2020-02-06,ConfirmedCases,0.0,Fatalities,0.0
15851,,,Ireland,2020-02-07,ConfirmedCases,0.0,Fatalities,0.0
15852,,,Ireland,2020-02-08,ConfirmedCases,0.0,Fatalities,0.0
15853,,,Ireland,2020-02-09,ConfirmedCases,0.0,Fatalities,0.0
15854,,,Ireland,2020-02-10,ConfirmedCases,0.0,Fatalities,0.0
15855,,,Ireland,2020-02-11,ConfirmedCases,0.0,Fatalities,0.0
15856,,,Ireland,2020-02-12,ConfirmedCases,0.0,Fatalities,0.0
15857,,,Ireland,2020-02-13,ConfirmedCases,0.0,Fatalities,0.0
15858,,,Ireland,2020-02-14,ConfirmedCases,0.0,Fatalities,0.0
15859,,,Ireland,2020-02-15,ConfirmedCases,0.0,Fatalities,0.0
15860,,,Ireland,2020-02-16,ConfirmedCases,0.0,Fatalities,0.0
15861,,,Ireland,2020-02-17,ConfirmedCases,0.0,Fatalities,0.0
15862,,,Ireland,2020-02-18,ConfirmedCases,0.0,Fatalities,0.0
15863,,,Ireland,2020-02-19,ConfirmedCases,0.0,Fatalities,0.0
15864,,,Ireland,2020-02-20,ConfirmedCases,0.0,Fatalities,0.0
15865,,,Ireland,2020-02-21,ConfirmedCases,0.0,Fatalities,0.0
15866,,,Ireland,2020-02-22,ConfirmedCases,0.0,Fatalities,0.0
15867,,,Ireland,2020-02-23,ConfirmedCases,0.0,Fatalities,0.0
15868,,,Ireland,2020-02-24,ConfirmedCases,0.0,Fatalities,0.0
15869,,,Ireland,2020-02-25,ConfirmedCases,0.0,Fatalities,0.0
15870,,,Ireland,2020-02-26,ConfirmedCases,0.0,Fatalities,0.0
15871,,,Ireland,2020-02-27,ConfirmedCases,0.0,Fatalities,0.0
15872,,,Ireland,2020-02-28,ConfirmedCases,0.0,Fatalities,0.0
15873,,,Ireland,2020-02-29,ConfirmedCases,1.0,Fatalities,0.0
15874,,,Ireland,2020-03-01,ConfirmedCases,0.0,Fatalities,0.0
15875,,,Ireland,2020-03-02,ConfirmedCases,0.0,Fatalities,0.0
15876,,,Ireland,2020-03-03,ConfirmedCases,1.0,Fatalities,0.0
15877,,,Ireland,2020-03-04,ConfirmedCases,4.0,Fatalities,0.0
15878,,,Ireland,2020-03-05,ConfirmedCases,0.0,Fatalities,0.0
15879,,,Ireland,2020-03-06,ConfirmedCases,12.0,Fatalities,0.0
15880,,,Ireland,2020-03-07,ConfirmedCases,0.0,Fatalities,0.0
15881,,,Ireland,2020-03-08,ConfirmedCases,1.0,Fatalities,0.0
15882,,,Ireland,2020-03-09,ConfirmedCases,2.0,Fatalities,0.0
15883,,,Ireland,2020-03-10,ConfirmedCases,13.0,Fatalities,0.0
15884,,,Ireland,2020-03-11,ConfirmedCases,9.0,Fatalities,1.0
15885,,,Ireland,2020-03-12,ConfirmedCases,0.0,Fatalities,0.0
15886,,,Ireland,2020-03-13,ConfirmedCases,47.0,Fatalities,0.0
15887,,,Ireland,2020-03-14,ConfirmedCases,39.0,Fatalities,1.0
15888,,,Ireland,2020-03-15,ConfirmedCases,0.0,Fatalities,0.0
15889,,,Ireland,2020-03-16,ConfirmedCases,40.0,Fatalities,0.0
15890,,,Ireland,2020-03-17,ConfirmedCases,54.0,Fatalities,0.0
15891,,,Ireland,2020-03-18,ConfirmedCases,69.0,Fatalities,0.0
